PCA_Dimensions,RMSE
1,0.3215609376283283
200,0.2926410506121454
400,0.29220731185095755
600,0.29190667653147373
800,0.2919653711588533
1000,0.29191172384654307
1200,0.29193707432051375
1400,0.29195531026911803
1547,0.2920387457583687
